time,omega
7.68,-0.2834372
7.69,3.6542139
7.7,0.74645382
7.71,-2.2925847
7.72,-0.32412323
7.73,2.8690045
7.74,-1.3972633
7.75,-1.1143738
7.76,-0.31578483
7.77,1.7847627
7.78,0.76851734
7.79,4.5705906
7.8,0.85816884
7.81,3.1419672
7.82,1.7668327
7.83,1.4910621
7.84,3.3633837
7.85,2.2581178
7.86,1.2890851
7.87,3.8034899
7.88,4.2370801
7.89,2.344045
7.9,2.7021723
7.91,3.4333935
7.92,2.2485198
7.93,-0.97225604
7.94,1.836296
7.95,2.3202929
7.96,0.36485944
7.97,-1.5721962
7.98,-2.1063147
7.99,-1.1179518
8,0
